Time	Value
10/1/2017 12:00:00 AM	55
10/1/2017 12:05:00 AM	58
10/1/2017 12:10:00 AM	57
10/1/2017 12:15:00 AM	60
10/1/2017 12:20:00 AM	58
10/1/2017 12:25:00 AM	56
10/1/2017 12:30:00 AM	57
10/1/2017 12:35:00 AM	56
10/1/2017 12:40:00 AM	54
10/1/2017 12:45:00 AM	54
10/1/2017 12:50:00 AM	53
10/1/2017 12:55:00 AM	54
10/1/2017 1:00:00 AM	54
10/1/2017 1:05:00 AM	54
10/1/2017 1:10:00 AM	53
10/1/2017 1:15:00 AM	55
10/1/2017 1:20:00 AM	55
10/1/2017 1:25:00 AM	53
10/1/2017 1:30:00 AM	53
10/1/2017 1:35:00 AM	52
10/1/2017 1:40:00 AM	50
10/1/2017 1:45:00 AM	49
10/1/2017 1:50:00 AM	49
10/1/2017 1:55:00 AM	54
10/1/2017 2:00:00 AM	51
10/1/2017 2:05:00 AM	51
10/1/2017 2:10:00 AM	49
10/1/2017 2:15:00 AM	48
10/1/2017 2:20:00 AM	48
10/1/2017 2:25:00 AM	47
10/1/2017 2:30:00 AM	47
10/1/2017 2:35:00 AM	47
10/1/2017 2:40:00 AM	47
10/1/2017 2:45:00 AM	47
10/1/2017 2:50:00 AM	46
10/1/2017 2:55:00 AM	47
10/1/2017 3:00:00 AM	45
10/1/2017 3:05:00 AM	50
10/1/2017 3:10:00 AM	44
10/1/2017 3:15:00 AM	45
10/1/2017 3:20:00 AM	47
10/1/2017 3:25:00 AM	48
10/1/2017 3:30:00 AM	49
10/1/2017 3:35:00 AM	52
10/1/2017 3:40:00 AM	50
10/1/2017 3:45:00 AM	49
10/1/2017 3:50:00 AM	48
10/1/2017 3:55:00 AM	47
10/1/2017 4:00:00 AM	47
10/1/2017 4:05:00 AM	46
10/1/2017 4:10:00 AM	46
10/1/2017 4:15:00 AM	47
10/1/2017 4:20:00 AM	46
10/1/2017 4:25:00 AM	49
10/1/2017 4:30:00 AM	48
10/1/2017 4:35:00 AM	47
10/1/2017 4:40:00 AM	46
10/1/2017 4:45:00 AM	45
10/1/2017 4:50:00 AM	48
10/1/2017 4:55:00 AM	43
10/1/2017 5:00:00 AM	43
10/1/2017 5:05:00 AM	51
10/1/2017 5:10:00 AM	49
10/1/2017 5:15:00 AM	52
10/1/2017 5:20:00 AM	49
10/1/2017 5:25:00 AM	49
10/1/2017 5:30:00 AM	47
10/1/2017 5:35:00 AM	47
10/1/2017 5:40:00 AM	45
10/1/2017 5:45:00 AM	48
10/1/2017 5:50:00 AM	47
10/1/2017 5:55:00 AM	43
10/1/2017 6:00:00 AM	43
10/1/2017 6:05:00 AM	44
10/1/2017 6:10:00 AM	44
10/1/2017 6:15:00 AM	44
10/1/2017 6:20:00 AM	44
10/1/2017 6:25:00 AM	44
10/1/2017 6:30:00 AM	45
10/1/2017 6:35:00 AM	49
10/1/2017 6:40:00 AM	47
10/1/2017 6:45:00 AM	47
10/1/2017 6:50:00 AM	52
10/1/2017 6:55:00 AM	46
10/1/2017 7:00:00 AM	46
10/1/2017 7:05:00 AM	45
10/1/2017 7:10:00 AM	48
10/1/2017 7:15:00 AM	50
10/1/2017 7:20:00 AM	50
10/1/2017 7:25:00 AM	50
10/1/2017 7:30:00 AM	48
10/1/2017 7:35:00 AM	47
10/1/2017 7:40:00 AM	48
10/1/2017 7:45:00 AM	45
10/1/2017 7:50:00 AM	45
10/1/2017 7:55:00 AM	45
10/1/2017 8:00:00 AM	46
10/1/2017 8:05:00 AM	47
10/1/2017 8:10:00 AM	47
10/1/2017 8:15:00 AM	47
10/1/2017 8:20:00 AM	47
10/1/2017 8:25:00 AM	49
10/1/2017 8:30:00 AM	46
10/1/2017 8:35:00 AM	46
10/1/2017 8:40:00 AM	46
10/1/2017 8:45:00 AM	46
10/1/2017 8:50:00 AM	55
10/1/2017 8:55:00 AM	54
10/1/2017 9:00:00 AM	52
10/1/2017 9:05:00 AM	52
10/1/2017 9:10:00 AM	54
10/1/2017 9:15:00 AM	53
10/1/2017 9:20:00 AM	53
10/1/2017 9:25:00 AM	51
10/1/2017 9:30:00 AM	55
10/1/2017 9:35:00 AM	47
10/1/2017 9:40:00 AM	53
10/1/2017 9:45:00 AM	60
10/1/2017 9:50:00 AM	65
10/1/2017 9:55:00 AM	78
10/1/2017 10:00:00 AM	65
10/1/2017 10:05:00 AM	61
10/1/2017 10:10:00 AM	52
10/1/2017 10:15:00 AM	53
